,Time,Raw Data (mV),Averaged data (20 samples)
,8.37203277,-14.74349,-17.63161
,8.37269945,-17.96014,-17.9139065
,8.37336612,-18.26533,-17.861415
,8.37403279,-16.52272,-17.838831
,8.37469946,-15.76891,-17.923062
,8.37536613,-17.20328,-17.9956965
,8.37603281,-16.7333,-18.088473
,8.37669948,-15.88183,-18.088168
,8.37736615,-17.31315,-18.102817
,8.37803282,-16.9042,-18.05414
,8.37869949,-17.01407,-18.0547505
,8.37936617,-18.11884,-18.0887785
,8.38003284,-20.74953,-18.027436
,8.38069951,-19.43419,-17.7929015
,8.38136618,-16.69668,-17.664266
,8.38203285,-21.45451,-17.750328
,8.38269953,-17.92352,-17.4884795
,8.3833662,-19.09848,-17.4846645
,8.38403287,-19.34568,-17.348247
,8.38469954,-15.50035,-17.2396015
,8.38536621,-20.38942,-17.4010445
,8.38603289,-16.91031,-17.2170175
,8.38669956,-17.81365,-17.3705255
,8.38736623,-18.20734,-17.376019
,8.3880329,-17.2216,-17.445296
,8.38869957,-19.05881,-17.5124365
,8.38936625,-16.7272,-17.414014
,8.39003292,-16.17481,-17.6552625
,8.39069959,-16.33961,-17.714926
,8.39136626,-16.91641,-17.811822
,8.39203293,-17.69463,-17.814721
,8.39269961,-16.89199,-17.727591
,8.39336628,-16.05884,-17.788628
,8.39403295,-16.86148,-17.839136
,8.39469962,-18.41792,-17.7883225
,8.39536629,-16.21754,-17.7002765
,8.39603297,-17.84722,-17.6926465
,8.39669964,-16.37013,-17.657245
,8.39736631,-17.17277,-17.6604495
,8.39803298,-18.72921,-17.6041425
,8.39869966,-16.70888,-17.575913
,8.39936633,-19.98047,-17.6061265
,8.400033,-17.92352,-17.461011
,8.40069967,-19.59288,-17.542953
,8.40136634,-18.56441,-17.387614
,8.40203302,-17.09036,-17.3720495
,8.40269969,-21.55217,-17.421337
,8.40336636,-17.36808,-17.2223565
,8.40403303,-18.27753,-17.2681345
,8.4046997,-16.97439,-17.226172
,8.40536638,-15.95203,-17.322458
,8.40603305,-18.11273,-17.506179
,8.40669972,-17.069,-17.4929035
,8.40736639,-15.84521,-17.5476845
,8.40803306,-16.657,-17.6731155
,8.40869974,-16.06494,-17.706228
,8.40936641,-17.13919,-17.832422
,8.41003308,-16.43422,-17.7971735
,8.41069975,-16.04663,-17.27378095
,8.41136642,-18.16462,-17.32947745
,8.4120331,-17.31315,-17.21686395
,8.41269977,-17.07816,-17.26187895
,8.41336644,-19.56236,-17.18558245
,8.41403311,-16.4861,-17.14270395
,8.41469978,-18.25312,-17.15674245
,8.41536646,-18.07611,-17.03756745
,8.41603313,-17.57256,-16.99835145
,8.4166998,-18.28364,-16.90359145
,8.41736647,-17.43828,-16.90114995
,8.41803314,-18.90011,-16.96661195
,8.41869982,-19.62645,-16.80867895
,8.41936649,-17.84722,-16.71361395
,8.42003316,-18.16462,-16.81432545
,8.42069983,-18.35383,-16.88863795
,8.4213665,-17.31925,-16.81081595
,8.42203318,-18.58882,-16.92007245
,8.42269985,-16.43422,-16.86223995
,8.42336652,-5.966369,-17.07144445
,8.42403319,-17.16056,-17.656179
,8.42469986,-15.91235,-17.724693
,8.42536654,-18.21345,-17.857296
,8.42603321,-15.55223,-17.709281
,8.42669988,-18.70479,-17.9612115
,8.42736655,-16.76687,-17.7842045
,8.42803322,-15.86962,-17.8743865
,8.4286999,-17.29179,-17.9909675
,8.42936657,-15.67736,-17.9647215
,8.43003324,-18.23481,-18.1604975
,8.43069991,-18.74752,-18.1174665
,8.43136658,-15.74145,-18.0904575
,8.43203326,-17.72515,-18.2331315
,8.43269993,-19.86145,-18.264871
,8.4333666,-19.65087,-18.248238
,8.43403327,-16.79739,-18.128758
,8.43469994,-19.50438,-18.3104955
,8.43536662,-17.43217,-18.341319
,8.43603329,-20.61831,-18.45378
,8.43669996,-17.66106,-18.382214
,8.43736663,-18.53084,-18.5494555
,8.4380333,-18.56441,-18.5666985
,8.43869998,-15.25315,-18.7157815
,8.43936665,-20.59084,-18.8326675
,8.44003332,-15.16465,-18.773614
,8.44069999,-18.57051,-19.0874965
,8.44136666,-18.20124,-19.0845975
,8.44203334,-16.76687,-19.1904965
,8.44270001,-19.59288,-19.3293555
,8.44336668,-17.37419,-19.2283395
,8.44403335,-18.20734,-19.375591
,8.44470002,-18.59493,-19.2529065
,8.4453667,-18.35994,-19.311807
,8.44603337,-19.52879,-19.280678
,8.44670004,-17.26127,-19.202551
,8.44736671,-20.43214,-19.362468
,8.44803338,-20.12085,-19.2439035
,8.44870006,-19.68139,-19.2300175
,8.44936673,-19.18699,-19.3186735
,8.4500334,-21.00589,-19.308755
,8.45070007,-18.8757,-19.340189
,8.45136674,-21.54607,-19.369029
,8.45203342,-17.59087,-19.295174
,8.45270009,-19.40977,-19.534897
,8.45336676,-21.4423,-19.623248
,8.45403343,-18.51253,-19.6827595
,8.4547001,-20.31922,-19.8336735
,8.45536678,-19.54405,-19.8475595
,8.45603345,-17.57256,-19.9806205
,8.45670012,-20.31922,-20.1048305
,8.45736679,-15.75365,-20.11597
,8.45803346,-19.77294,-20.1881465
,8.45870014,-17.73736,-20.2020325
,8.45936681,-17.96625,-20.3447065
,8.46003348,-20.45961,-20.4168825
,8.46070015,-18.06085,-20.2827535
,8.46136682,-19.84313,-20.4614395
,8.4620335,-21.45451,-20.4394665
,8.46270017,-18.98862,-20.314951
,8.46336684,-21.63457,-20.423444
,8.46403351,-19.4525,-20.301675
,8.46470018,-20.06897,-20.3350925
,8.46536686,-22.38533,-20.373546
,8.46603353,-21.17679,-20.260322
,8.4667002,-22.63253,-20.3149505
,8.46736687,-21.53081,-20.242469
,8.46803354,-20.59694,-20.341959
,8.46870022,-22.20527,-20.3747665
,8.46936689,-20.05676,-20.3204435
,8.47003356,-20.54201,-20.5323945
,8.47070023,-17.19718,-20.521255
,8.4713669,-20.05066,-20.786003
,8.47203358,-20.59084,-20.8610785
,8.47270025,-19.40977,-20.8378845
,8.47336692,-17.77703,-21.012603
,8.47403359,-21.63457,-21.166111
,8.47470026,-19.40367,-21.159702
,8.47536694,-18.9642,-21.255988
,8.47603361,-21.15848,-21.3786725
,8.47670028,-19.19919,-21.3595985
,8.47736695,-20.12085,-21.444135
,8.47803362,-20.83804,-21.4156005
,8.4787003,-20.12085,-21.304513
,8.47936697,-22.26936,-21.2657545
,8.48003364,-21.1829,-21.265144
,8.48070031,-23.52061,-21.303597
,8.48136698,-21.25309,-21.135593
,8.48203366,-21.11881,-21.198461
,8.48270033,-24.29578,-21.2166195
,8.483367,-20.31922,-21.162297
,8.48403367,-22.49214,-21.321146
,8.48470034,-21.55217,-21.247444
,8.48536702,-20.12696,-21.3742485
,8.48603369,-22.90414,-21.526841
,8.48670036,-20.84719,-21.5344705
,8.48736703,-21.50639,-21.776635
,8.4880337,-21.32939,-21.77633
,8.48870038,-21.41789,-21.9418925
,8.48936705,-20.777,-22.020325
,8.49003372,-20.88992,-22.1733755
,8.49070039,-19.55016,-22.2141175
,8.49136707,-18.61629,-22.3462625
,8.49203374,-19.34568,-22.5435645
,8.49270041,-22.25715,-22.677083
,8.49336708,-21.95196,-22.5788135
,8.49403375,-20.16053,-22.579119
,8.49470043,-22.51045,-22.7672655
,8.4953671,-21.48198,-22.6751
,8.49603377,-23.20933,-22.6703695
,8.49670044,-23.4962,-22.470168
,8.49736711,-21.0181,-22.402417
,8.49803379,-24.08826,-22.534257
,8.49870046,-23.17881,-22.3355815
,8.49936713,-23.05673,-22.3822745
,8.5000338,-25.69048,-22.429731
,8.50070047,-21.50029,-22.3003325
,8.50136715,-24.64064,-22.356029
